mutation probability per bit=0.01
bias fitness=1e-24
number of Individuals per Generation=100
number of Generations=100
Generation x y theta psi phi lattice_sum fitness
0 0.533801 0.0460657 0.838226 1.67598 0.0718149 6.27295 2.81122e-26
0 0.901144 0.34951 1.41546 0.142675 0.548637 0.619684 0.00736691
0 0.520111 0.336523 0.816714 2.83082 0.52823 3.18346 1.766e-13
0 0.456551 0.255308 0.716838 1.09662 0.400611 6.8359 1.30891e-28
0 0.268904 0.734219 0.421975 1.63295 1.15316 8.89584 3.83455e-37
0 0.22321 0.10248 0.350173 1.0558 0.160463 18.2995 4.26291e-76
0 0.264109 0.848772 0.414441 1.43313 1.33316 7.63679 6.29913e-32
0 0.815888 0.738283 1.28149 0.800477 1.15954 0.441526 0.0402993
0 0.277455 0.0799931 0.435413 0.843219 0.125127 14.3924 6.52667e-60
0 0.606609 0.806116 0.952634 2.30605 1.26613 0.980471 0.000235907
0 0.0489222 0.521748 0.0763036 0.699569 0.819286 35.615 7.95981e-148
0 0.109371 0.922687 0.17129 0.320027 1.44931 25.0478 4.73186e-104
0 0.0257112 0.0316182 0.0398304 0.828144 0.0491126 37.3637 4.53971e-155
0 0.94885 0.106791 1.49042 2.66617 0.167236 1.75908 1.40402e-07
0 0.00658733 0.233908 0.00977981 2.56279 0.366985 37.824 5.62862e-157
0 0.413144 0.422085 0.64863 2.31883 0.662679 5.5149 3.88231e-23
0 0.235046 0.809168 0.368772 0.870103 1.27093 9.92702 2.05158e-41
0 0.984453 0.284113 1.54637 0.249334 0.445874 0.593623 0.00944586
0 0.52613 0.613449 0.826173 1.90487 0.963382 2.44645 1.99519e-10
0 0.395909 0.721715 0.621547 2.53207 1.13351 3.36462 3.13715e-14
0 0.815067 0.410628 1.2802 0.151655 0.644676 0.72015 0.0028256
0 0.823006 0.801669 1.29267 1.63809 1.25915 0.4058 0.0566614
0 0.828677 0.255155 1.30159 0.341689 0.40037 1.20708 2.71664e-05
0 0.5763 0.938848 0.905007 2.89854 1.4747 0.907136 0.000474819
0 0.221888 0.404548 0.348097 0.0786855 0.635123 14.53 1.75528e-60
0 0.707611 0.728025 1.11135 0.0972557 1.14342 0.634485 0.00639696
0 0.300634 0.375697 0.471836 2.98079 0.589787 9.16034 3.07637e-38
0 0.802398 0.602163 1.26029 0.333578 0.945648 0.526904 0.0178493
0 0.0831906 0.323913 0.130152 0.0185652 0.508415 32.342 2.87822e-134
0 0.666583 0.535343 1.04688 0.733203 0.840649 1.23542 2.0731e-05
0 0.212954 0.483512 0.334057 1.29667 0.759203 17.2293 1.1554e-71
0 0.553043 0.901908 0.868463 1.32478 1.41666 1.10349 7.29671e-05
0 0.0352919 0.43052 0.0548853 0.736779 0.675934 36.7556 1.50046e-152
0 0.943537 0.0066151 1.48207 2.54167 0.00982344 2.37336 4.00669e-10
0 0.325626 0.424451 0.511107 3.09272 0.666397 7.26306 2.22549e-30
0 0.711157 0.427169 1.11692 0.891032 0.670668 1.50912 1.52345e-06
0 0.345156 0.082588 0.541796 1.65187 0.129205 11.1742 1.39849e-46
0 0.651274 0.558703 1.02282 1.92638 0.877357 1.61439 5.58149e-07
0 0.453527 0.765077 0.712086 1.24249 1.20165 2.46688 1.64205e-10
0 0.946579 0.518078 1.48685 2.26674 0.813519 0.467924 0.0313286
0 0.405641 0.708185 0.63684 2.56021 1.11225 3.21174 1.3484e-13
0 0.574429 0.590777 0.902068 1.28876 0.927756 2.11265 4.81689e-09
0 0.158916 0.122246 0.249145 2.58517 0.191522 24.4429 1.51617e-101
0 0.368472 0.619964 0.578433 2.51809 0.97362 4.6489 1.50121e-19
0 0.274371 0.507922 0.430566 2.603 0.79756 9.78235 8.15412e-41
0 0.838784 0.569747 1.31747 0.799995 0.894711 0.587034 0.0100586
0 0.198126 0.866832 0.310757 1.80959 1.36154 12.9038 9.5672e-54
0 0.966393 0.76827 1.51799 2.94935 1.20666 0.202741 0.393052
0 0.564765 0.127902 0.886882 0.695415 0.20041 5.14227 1.3574e-21
