mutation probability per bit=0.1
bias fitness=1e-39
number of Individuals per Generation=100
number of Generations=100
Generation x y theta psi phi lattice_sum fitness
0 0.596196 0.581131 0.649824 1.29965 0.673134 0.000119752 0
0 0.759902 0.509694 0.396514 1.34627 0.783672 1.05641e-05 0
0 0.617863 0.0963781 0.616298 0.793028 1.42321 2.30721 0
0 0.485124 0.855537 0.82169 1.56734 0.248534 1.7536e-06 0
0 0.92644 0.435755 0.138823 1.2326 0.898082 3.6979e-06 0
0 0.941507 0.710955 0.115508 2.84643 0.472251 3.46252e-16 0
0 0.460359 0.9397 0.86001 1.64338 0.118304 5.92231e-07 0
0 0.466076 0.904703 0.851163 0.497068 0.172457 1.15862e-06 0
0 0.0193548 0.523145 1.5424 0.277646 0.762858 71.4843 0
0 0.861 0.129604 0.240081 1.79616 1.3718 0.765063 0
0 0.567756 0.723477 0.69383 0.231017 0.452876 2.32135e-06 0
0 0.0982381 0.634051 1.42034 0.944503 0.591249 4.25247 0
0 0.564597 0.376395 0.698719 1.72002 0.989931 0.0515665 0
0 0.801833 0.3562 0.331633 0.236609 1.02118 0.00270028 0
0 0.819122 0.309623 0.30488 1.70233 1.09325 0.0109219 0
0 0.542218 0.458773 0.733347 0.344914 0.862464 0.0133125 0
0 0.856307 0.97361 0.247343 3.08479 0.0658337 7.39926e-25 0
0 0.0149756 0.459357 1.54917 1.52572 0.861561 89.0685 0
0 0.653033 0.496588 0.561878 0.480161 0.803951 0.000399597 0
0 0.353072 0.273348 1.02602 2.7436 1.14938 1.04071 0
0 0.694623 0.105234 0.497523 1.38766 1.40951 1.69419 0
0 0.21765 0.854309 1.23556 0.905752 0.250434 0.167325 0
0 0.523659 0.605555 0.762063 2.84067 0.635342 0.00058038 0
0 0.385559 0.999045 0.975752 1.1825 0.0264783 2.38617e-05 0
0 0.315686 0.448414 1.08387 1.39744 0.878493 0.398336 0
0 0.401733 0.832574 0.950724 1.97986 0.284066 0.000236272 0
0 0.510077 0.6563 0.783079 0.663265 0.556822 0.000228436 0
0 0.287615 0.586466 1.1273 2.04236 0.664879 0.202502 0
0 0.451984 0.272932 0.87297 0.60976 1.15002 0.597516 0
0 0.550853 0.559225 0.719985 2.1865 0.707031 0.000917958 0
0 0.192891 0.694653 1.27387 1.46669 0.497476 0.594557 0
0 0.996558 0.905335 0.030326 1.72493 0.171479 4.63773e-29 0
0 0.869626 0.370717 0.226733 0.494686 0.998717 0.000441483 0
0 0.68231 0.778808 0.516575 0.131667 0.36726 2.3319e-10 0
0 0.534238 0.392682 0.745693 3.09834 0.964729 0.0566052 0
0 0.0284892 0.773419 1.52826 1.72312 0.375598 35.8787 0
0 0.760683 0.936444 0.395306 1.12376 0.123343 2.83338e-18 0
0 0.218314 0.0739503 1.23454 1.6079 1.45792 9.94919 0
0 0.531272 0.859573 0.750284 2.05204 0.242288 9.24662e-08 0
0 0.648397 0.98215 0.569051 2.29876 0.0526195 1.40842e-14 0
0 0.904759 0.323762 0.17237 0.995046 1.07137 0.0019167 0
0 0.014866 0.143268 1.54934 2.81902 1.35066 94.9041 0
0 0.289312 0.796096 1.12468 2.47113 0.340509 0.0295269 0
0 0.121309 0.787113 1.38464 0.500869 0.35441 2.01849 0
0 0.0310075 0.0593117 1.52436 1.52413 1.48057 56.3839 0
0 0.99093 0.909229 0.0390348 1.27068 0.165454 5.55597e-29 0
0 0.0342542 0.769903 1.51934 1.9515 0.381039 26.2639 0
0 0.0173659 0.464263 1.54547 0.0529566 0.85397 80.3453 0
0 0.614638 0.359105 0.621288 2.16774 1.01668 0.0386608 0
0 0.896407 0.97512 0.185294 1.75699 0.0634978 2.75716e-27 0
0 0.543285 0.11865 0.731695 1.90145 1.38875 2.05519 0
0 0.446363 0.016547 0.881666 0.568132 1.54674 12.849 0
0 0.11618 0.126889 1.39257 1.56616 1.376 14.4946 0
0 0.380903 0.380572 0.982955 1.11364 0.983467 0.366823 0
0 0.317379 0.345031 1.08125 2.25461 1.03846 0.79938 0
0 0.663717 0.450026 0.545345 1.32976 0.875998 0.00145414 0
0 0.436636 0.820748 0.896717 1.74594 0.302365 6.10967e-05 0
0 0.345895 0.196966 1.03713 2.30005 1.26757 1.8909 0
0 0.201359 0.112333 1.26077 1.43997 1.39853 7.79711 0
0 0.773152 0.0529823 0.376013 1.41406 1.49036 3.80733 0
0 0.749549 0.604902 0.412534 2.54775 0.636353 1.17315e-07 0
0 0.600512 0.724958 0.643145 0.994952 0.450584 4.30426e-07 0
0 0.55155 0.679705 0.718906 0.060652 0.520606 2.2751e-05 0
0 0.20712 0.889086 1.25186 0.342959 0.196622 0.194221 0
0 0.524365 0.1922 0.760971 0.453466 1.27494 0.954115 0
0 0.213882 0.496702 1.24139 1.99743 0.803775 0.924047 0
0 0.862693 0.841928 0.237461 1.03315 0.269592 5.53347e-19 0
0 0.299445 0.0645579 1.109 0.734519 1.47245 8.53973 0
0 0.583082 0.760968 0.670116 1.49139 0.394865 2.37346e-07 0
0 0.624773 0.794164 0.605605 1.92946 0.343498 4.3722e-09 0
0 0.380544 0.595672 0.983511 3.056
