mutation probability per bit=0.05
bias fitness=1e-99
number of Individuals per Generation=1000
number of Generations=500
Generation x y theta psi phi lattice_sum fitness
0 0.309521 0.555175 1.09341 2.18682 0.713298 26.8613 6.66052e-17
0 0.0461197 0.441447 1.50098 1.4266 0.889274 140.107 6.19003e-44
0 0.386883 0.252413 0.973703 3.00196 1.18177 32.1347 2.65767e-10
0 0.906809 0.961701 0.169199 1.77855 0.0842611 1.88429 0.703635
0 0.793079 0.353644 0.345178 1.94741 1.02514 7.66031 0.0111724
0 0.11641 0.22746 1.39222 2.36355 1.22039 105.735 3.15078e-33
0 0.830977 0.876241 0.286537 0.338397 0.216498 2.58934 0.424352
0 0.334113 0.00449298 1.05536 0.168522 1.56539 46.912 6.62863e-15
0 0.592801 0.998376 0.655076 0.690355 0.0275126 4.6032 0.100096
0 0.242328 0.445631 1.19738 2.05027 0.882799 45.7406 1.53568e-14
0 0.680661 0.945624 0.519127 2.78443 0.109139 3.66888 0.195639
0 0.237794 0.871121 1.20439 2.44077 0.22442 28.8836 2.73642e-09
0 0.722091 0.820531 0.455021 0.573074 0.302701 3.77202 0.181689
0 0.507118 0.208607 0.787658 0.432995 1.24956 24.8261 5.02445e-08
0 0.340296 0.563353 1.04579 2.11071 0.700644 22.4892 2.68541e-07
0 0.966782 0.675473 0.0763996 3.13078 0.527154 2.51006 0.449181
0 0.833301 0.343287 0.28294 1.31015 1.04116 7.21362 0.0153917
0 0.354032 0.922162 1.02453 0.0550251 0.145442 13.2434 0.000203722
0 0.384377 0.980446 0.977581 2.39476 0.0552561 10.7417 0.00122547
0 0.879976 0.44644 0.210718 1.7656 0.881548 4.90601 0.0805557
0 0.73352 0.116904 0.437336 1.03825 1.39145 20.6509 1.00379e-06
0 0.825212 0.677303 0.295458 0.218278 0.524323 3.52231 0.217325
0 0.961337 0.991023 0.0848242 2.40879 0.0388898 1.56461 0.884961
0 0.64542 0.73475 0.573657 0.448839 0.435433 5.30725 0.0604105
0 0.851812 0.513926 0.254299 0.910042 0.777124 4.48148 0.109228
0 0.700827 0.991778 0.487923 0.605401 0.0377218 3.27936 0.258696
0 0.668553 0.511236 0.537862 1.57532 0.781285 7.19204 0.0156318
0 0.123557 0.315337 1.38116 2.49912 1.08441 99.8111 2.20597e-31
0 0.827923 0.756407 0.291262 2.09158 0.401921 3.08948 0.296439
0 0.739674 0.422311 0.427813 1.40129 0.918883 7.24567 0.0150419
0 0.549663 0.999073 0.721826 0.152799 0.0264344 5.34441 0.0588215
0 0.792851 0.3751 0.345531 1.05431 0.991934 7.20553 0.0154812
0 0.328785 0.8351 1.0636 0.56588 0.280157 16.6447 1.77648e-05
0 0.939052 0.984757 0.119308 2.08232 0.0485868 1.67539 0.81737
0 0.724702 0.266435 0.450981 2.04907 1.16008 11.9889 0.000500958
0 0.619214 0.751591 0.614207 0.290884 0.409374 5.62397 0.0481344
0 0.509956 0.397235 0.783267 1.95516 0.957685 15.1573 5.16254e-05
0 0.217663 0.701833 1.23554 0.110512 0.486367 40.2952 7.62994e-13
0 0.603366 0.0964333 0.638729 0.421435 1.42313 26.5423 1.46724e-08
0 0.164064 0.371555 1.31848 1.7631 0.997421 77.2042 2.42967e-24
0 0.276829 0.817247 1.14399 0.874672 0.307781 23.2544 1.55112e-07
0 0.0452537 0.711215 1.50232 2.78291 0.47185 137.925 2.95922e-43
0 0.986096 0.956729 0.0465147 0.590915 0.0919548 1.53399 0.904615
0 0.932699 0.536534 0.129138 1.04865 0.74214 3.55622 0.212104
0 0.181197 0.2868 1.29197 0.169648 1.12856 73.2982 4.00181e-23
0 0.25933 0.704152 1.17107 0.0777795 0.482778 29.843 1.37514e-09
0 0.13427 0.649036 1.36458 1.14731 0.568063 80.7941 1.85063e-25
0 0.414106 0.81334 0.931579 0.870866 0.313827 11.1495 0.000914712
0 0.359328 0.138866 1.01634 0.508597 1.35747 41.0448 4.45682e-13
0 0.38585 0.959505 0.975301 1.55425 0.0876592 10.8825 0.00110778
0 0.160116 0.0814952 1.32459 0.975845 1.44624 86.9275 2.27394e-27
0 0.292672 0.551316 1.11948 0.0754435 0.719268 29.7091 1.51372e-09
0 0.542559 0.690985 0.732818 1.07572 0.503153 7.87722 0.00956261
0 0.828945 0.94739 0.289681 1.56257 0.106406 2.37754 0.493973
0 0.403702 0.695785 0.947677 2.76232 0.495725 13.5542 0.000163018
0 0.881346 0.180009 0.208598 2.16882 1.29381 12.4282 0.000365568
0 0.334352 0.921408 1.05499 0.582525 0.146609 14.7276 7.02596e-05
0 0.741339 0.56877 0.425238 0.803843 0.692261 5.28159 0.0615324
0 0.287815 0.229476 1.12699 0.855626 1.21727 47.0396 6.04878e-15
0 0.0822227 0.108075 1.44512 1.83777 1.40511 125.37 2.41126e-39
0 0.456863 0.347494 0.865419 1.44365 1.03465 20.5818 1.05478e-06
0 0.640826 0.520343 0.580766 0.0528688 0.767193 7.64943 0.0112599
0 0.846549 0.936503 0.262442 0.691062 0.123252 2.29523 0.524013
0 0.0299675 0.208923 1.52597 1.98387 1.24907 146.641 5.7071e-46
0 0.677655 0.751202 0.523779 2.1272 0.409976 4.71053 0.0926803
0 0.784798 0.539948 0.357992 0.560315 0.736858 4.99312 0.0756763
0 0.577456 0.174421 0.678821 0.238616 1.30245 22.9984 1.86383e-07
0 0.709518 0.541277 0.474475 0.0971737 0.734802 6.05575 0.0353148
0 0.10274 0.138108 1.41337 0.901961 1.35864 114.345 6.55261e-36
0 0.356232 0.527446 1.02113 2.32015 0.756203 22.0004 3.81305e-07
0 0.477281 0.902114 0.833827 1.22841 0.176463 7.74421 0.0105198
0 0.00835083 0.422926 1.55942 0.818747 0.917932 150.317 4.08587e-47
0 0.896038 0.750248 0.185866 1.56653 0.411453 2.62201 0.414526
0 0.30102 0.311544 1.10656 1.91537 1.09028 40.4417 6.86902e-13
0 0.708377 0.189792 0.476241 2.47109 1.27867 16.5838 1.85579e-05
0 0.659467 0.997417 0.551921 0.972733 0.028996 3.70613 0.190482
0 0.786235 0.816065 0.355767 1.27746 0.30961 3.17081 0.279641
0 0.250703 0.568844 1.18442 2.84626 0.692147 37.4083 6.05023e-12
0 0.127719 0.419658 1.37472 2.63696 0.922988 94.1976 1.23651e-29
0 0.283201 0.561607 1.13413 1.99484 0.703345 30.9351 6.28304e-10
0 0.677466 0.69014 0.524071 2.28799 0.50446 5.14697 0.0677703
0 0.174036 0.569988 1.30305 0.615562 0.690376 63.2729 5.30991e-20
0 0.954839 0.829345 0.0948792 3.00464 0.289061 2.00188 0.646723
0 0.984208 0.501413 0.0494359 0.9437 0.796486 3.4448 0.229749
0 0.732917 0.18349 0.438269 0.0930295 1.28842 16.1695 2.49782e-05
0 0.562572 0.796295 0.701852 0.18391 0.340201 6.39073 0.0277723
