genom dna lenght=12
mutation probability per bit=0.1
bias fitness=1e-39
number of Individuals per Generation=100
number of Generations=200
Search space [a,b]=[2,0]
Generation x y f(x,y) fitness
0 0.723592 0.654434 1.78853 0.167206
0 1.35926 0.595751 156.841 1e-39
0 0.522122 1.51525 154.643 1e-39
0 0.292786 1.82931 304.511 1e-39
0 1.79579 0.21259 908.003 1e-39
0 1.00249 1.62539 38.4913 1.92067e-17
0 1.00981 1.39051 13.7495 1.06824e-06
0 1.17568 1.3909 0.0383802 0.962347
0 1.04257 1.49105 16.3315 8.0783e-08
0 0.698072 0.901237 17.2251 3.3054e-08
0 0.612997 0.282022 1.02855 0.357524
0 0.843408 1.55238 70.7596 1.85993e-31
0 0.0857636 1.92681 369.265 1e-39
0 0.483948 0.528919 8.95195 0.000129485
0 0.315535 1.64874 240.464 1e-39
0 1.29291 1.7856 1.38494 0.250338
0 0.203565 1.74495 290.828 1e-39
0 0.51661 1.7609 223.442 1e-39
0 1.2971 0.950358 53.6869 4.83144e-24
0 0.962398 1.32157 15.6326 1.62504e-07
0 1.52883 1.85016 24.0117 3.73109e-11
0 1.7432 1.89182 132.097 1e-39
0 1.93014 0.373834 1124.2 1e-39
0 0.725437 1.38483 73.7899 8.98338e-33
0 1.04887 1.96004 73.9483 7.66761e-33
0 0.0127382 1.65599 275.15 1e-39
0 1.12023 1.24992 0.0169548 0.983188
0 1.27803 0.568802 113.407 1e-39
0 0.584854 0.703886 13.2645 1.73493e-06
0 1.00647 1.48174 21.9729 2.86623e-10
0 1.16366 1.67676 10.4371 2.93241e-05
0 1.81386 0.967644 540.043 1e-39
0 0.418999 1.72938 241.773 1e-39
0 1.26962 0.495837 124.64 1e-39
0 1.71217 1.48538 209.642 1e-39
0 0.537131 1.37674 118.638 1e-39
0 1.48015 1.76379 18.4673 9.54458e-09
0 0.361443 0.811334 46.7421 5.01375e-21
0 1.81776 1.92925 189.734 1e-39
0 1.92771 1.90781 327.842 1e-39
0 1.28056 1.71278 0.610941 0.54284
0 1.6303 1.28865 187.877 1e-39
0 1.27815 1.97147 11.4889 1.02433e-05
0 0.235746 0.348009 9.13579 0.00010774
0 0.64999 0.258297 2.81834 0.0597051
0 0.530368 1.65004 187.569 1e-39
0 1.79772 0.989198 503.561 1e-39
0 1.00796 1.14371 1.63153 0.19563
0 1.62645 0.698408 379.441 1e-39
0 0.691131 1.88124 197.099 1e-39
0 1.40078 1.1691 63.0566 4.11971e-28
0 0.0103921 0.681435 47.3999 2.59702e-21
0 0.981265 1.93607 94.7096 7.38064e-42
0 0.59799 1.38969 106.684 1e-39
0 0.264538 0.957565 79.3217 3.55666e-35
0 0.566907 1.29621 95.2169 4.44492e-42
0 0.298635 0.643249 31.1909 2.84431e-14
0 1.51627 1.55231 56.0311 4.63449e-25
0 0.0301806 1.28776 166.539 1e-39
0 1.63938 1.8095 77.5068 2.18388e-34
0 1.85935 1.25396 486.152 1e-39
0 0.713884 0.507666 0.0822484 0.921043
0 0.374182 0.0311904 1.57586 0.20683
0 1.25703 1.91501 11.2819 1.25988e-05
0 1.27912 0.120922 229.671 1e-39
0 0.0284877 1.59735 255.837 1e-39
0 1.59063 0.168976 557.845 1e-39
0 0.732703 0.556271 0.109149 0.896597
0 1.70059 0.879543 405.496 1e-39
0 0.336463 1.45942 181.669 1e-39
0 1.36017 0.949243 81.2769 5.03362e-36
0 1.51864 1.11804 141.453 1e-39
0 1.00941 0.570673 20.0911 1.88173e-09
0 0.164404 1.23188 145.866 1e-39
0 0.116368 0.411094 16.5856 6.26568e-08
0 1.53427 0.258936 439.209 1e-39
0 0.66826 1.14463 48.8384 6.16271e-22
0 0.0440495 1.24919 156.478 1e-39
0 0.9513 0.808115 0.940488 0.390437
0 1.24055 1.0411 24.844 1.62325e-11
0 1.63314 1.66724 100.381 2.52234e-44
0 0.0140017 1.71746 295.871 1e-39
0 1.20043 0.347288 119.666 1e-39
0 1.6254 1.752 79.5899 2.71986e-35
0 0.197507 1.35214 173.074 1e-39
0 1.75449 1.63655 208.415 1e-39
0 1.72419 0.390084 667.578 1e-39
0 0.636087 1.67345 161.128 1e-39
0 0.954555 1.56099 42.228 4.57738e-19
0 0.0310552 1.69035 286.343 1e-39
0 0.248948 0.22576 3.24663 0.038905
0 0.327024 1.18725 117.158 1e-39
0 0.682044 0.061974 16.3589 7.86015e-08
0 1.12864 1.59827 10.5431 2.63757e-05
0 0.602199 0.0503511 9.91089 4.9631e-05
0 0.231364 1.0656 103.02 1.4013e-45
0 1.02224 1.6858 41.0664 1.46246e-18
0 0.36402 1.45181 174.46 1e-39
0 1.67965 1.6978 126.667 1e-39
0 0.291716 0.671801 34.9237 6.80517e-16
1 1.12023 1.24992 0.0169548 0.983188
1 0.950916 0.81221 0.849375 0.427682
1 0.732601 0.507448 0.157092 0.854625
1 0.949939 1.24982 12.0735 5.70901e-06
1 0.732601 0.507448 0.157092 0.854625
1 0.713553 0.890354 14.6131 4.50416e-07
1 0.713553 0.530891 0.129285 0.878723
1 1.31136 1.71233 0.102302 0.902757
1 0.374115 0.00781441 2.13803 0.117887
1 0.450794 0.807814 36.8557 9.85785e-17
1 1.2801 1.55604 0.760833 0.467277
1 1.1746 1.24982 1.71726 0.179557
1 1.7138 0.507448 590.831 1e-39
1 0.732601 0.249573 8.31594 0.000244587
1 1.17558 1.38999 0.0372274 0.963457
1 1.1746 0.507448 76.1116 8.81395e-34
1 0.722344 0.281807 5.83586 0.00292092
1 1.00757 1.14286 1.62975 0.195979
1 1.17558 1.40708 0.0937964 0.910468
1 1.17558 1.39048 0.0380327 0.962682
1 0.723321 0.655922 1.83823 0.159098
1 0.713553 0.5558 0.299597 0.741117
1 0.950427 0.5558 12.0789 5.67783e-06
1 0.716484 0.807814 8.75139 0.000158241
1 1.17558 1.39048 0.0380327 0.962682
1 0.732601 0.5558 0.107968 0.897657
1 1.29524 0.5558 125.94 1e-39
1 1.1199 1.24982 0.0162814 0.98385
1 0.279853 1.71233 267.519 1e-39
1 1.2928 1.78559 1.3915 0.248702
1 1.2801 1.71233 0.621358 0.537215
1 0.713553 0.526496 0.112111 0.893945
1 1.2801 1.71233 0.621358 0.537215
1 0.713065 0.5558 0.306425 0.736074
1 1.1199 1.24982 0.0162814 0.98385
1 0.713553 0.507448 0.0823442 0.920955
1 0.713553 0.507448 0.0823442 0.920955
1 0.734066 0.807814 7.30476 0.000672334
1 1.39976 0.257875 289.65 1e-39
1 0.175336 1.39048 185.568 1e-39
1 1.1199 1.24982 0.0162814 0.98385
1 0.723321 1.39048 75.2945 1.99535e-33
1 0.723321 0.653968 1.78676 0.167503
1 1.1199 1.15702 0.958392 0.383509
1 0.649573 0.257875 2.81467 0.0599246
1 1.1199 1.24737 0.0190093 0.98117
1 1.1199 1.14042 1.30865 0.270185
1 1.17558 1.39048 0.0380327 0.962682
1 0.713553 0.50696 0.0825351 0.920779
1 1.17558 1.39048 0.0380327 0.962682
1 1.17558 1.40708 0.0937964 0.910468
1 0.713553 1.24982 54.9396 1.3805e-24
1 0.732601 0.562149 0.136248 0.872626
1 0.374115 0.0307692 1.58404 0.205146
1 1.00757 1.71233 48.5997 7.82401e-22
1 0.713553 0.507448 0.0823442 0.920955
1 1.24493 1.24982 9.06245 0.000115939
1 1.27619 1.24982 14.4287 5.41642e-07
1 1.17558 1.39048 0.0380327 0.962682
1 0.713553 0.507448 0.0823442 0.920955
1 0.732601 0.5558 0.107968 0.897657
1 1.33871 0.507448 165.156 1e-39
1 0.737973 1.39048 71.6186 7.87851e-32
1 0.734066 0.807814 7.30476 0.000672334
1 1.1199 1.24884 0.0172294 0.982918
1 1.17558 1.78559 16.3204 8.16821e-08
1 0.713553 0.507448 0.0823442 0.920955
1 1.11941 0.5558 48.6353 7.55025e-22
1 0.713553 0.507448 0.0823442 0.920955
1 1.1199 1.24347 0.0258547 0.974477
1 1.17558 1.39976 0.0623965 0.93951
1 0.713553 0.524542 0.105719 0.899678
1 1.2928 1.81245 2.07756 0.125235
1 1.00708 0.0307692 96.7164 9.92119e-43
1 0.550427 1.39048 118.469 1e-39
1 1.2801 1.71233 0.621358 0.537215
1 0.950916 0.768254 1.85165 0.156978
1 1.17558 1.39048 0.0380327 0.962682
1 1.17851 1.71233 10.4936 2.77145e-05
1 0.713553 0.507448 0.0823442 0.920955
1 1.1199 1.00757 6.09608 0.00225169
1 0.733089 0.653968 1.4296 0.239405
1 1.2928 1.39048 7.97316 0.000344589
1 0.950427 0.5558 12.0789 5.67783e-06
1 0.732601 0.5558 0.107968 0.897657
1 0.744811 1.24982 48.3779 9.76676e-22
1 0.713553 0.507448 0.0823442 0.920955
1 1.17558 1.38706 0.0333978 0.967154
1 1.1199 1.24982 0.0162814 0.98385
1 1.17411 0.5558 67.7214 3.88124e-30
1 0.732601 0.624664 0.845205 0.429469
1 1.1199 1.24982 0.0162814 0.98385
1 0.612943 0.282295 1.02223 0.359792
1 1.2801 1.71233 0.621358 0.537215
1 1.1199 1.24982 0.0162814 0.98385
1 1.17558 1.25763 1.5773 0.206533
1 1.00366 1.39048 14.6794 4.21527e-07
1 0.737973 0.281807 6.9749 0.000935062
1 1.2928 1.78657 1.41392 0.243188
2 1.1199 1.24982 0.0162814 0.98385
2 1.7138 0.507448 590.831 1e-39
2 0.713065 0.5558 0.306425 0.736074
2 1.1199 1.20293 0.277041 0.758023
2 0.713553 0.507448 0.0823442 0.920955
2 1.08864 0.524542 43.6478 1.10664e-19
2 0.732601 0.507448 0.157092 0.854625
2 0.713553 0.507448 0.0823442 0.920955
2 1.1199 0.507448 55.7754 5.98477e-25
2 1.1199 1.15702 0.958392 0.383509
2 1.11306 1.40708 2.84085 0.0583758
2 0.61978 1.24737 74.6642 3.74772e-33
2 1.21368 0.5558 84.1727 2.78143e-37
2 1.2801 1.71233 0.621358 0.537215
2 1.17558 1.43101 0.271174 0.762484
2 0.713553 0.507448 0.0823442 0.920955
2 1.17558 1.41294 0.126645 0.881047
2 1.1199 0.530891 52.3292 1.87808e-23
2 1.17509 0.624664 57.2109 1.42439e-25
2 0.700366 0.811722 10.4073 3.02117e-05
2 1.1746 1.24982 1.71726 0.179557
2 1.29182 0.507448 134.958 1e-39
2 0.713553 0.530891 0.129285 0.878723
2 1.17558 1.40708 0.0937964 0.910468
2 1.1199 1.24884 0.0172294 0.982918
2 0.732601 0.556288 0.109857 0.895962
2 0.723321 0.65348 1.77401 0.169652
2 1.17558 1.39048 0.0380327 0.962682
2 0.713553 0.507448 0.0823442 0.920955
2 1.1199 1.14042 1.30865 0.270185
2 0.374115 0.0864469 0.678118 0.507572
2 1.1199 1.22637 0.0917028 0.912376
2 1.11941 0.562149 47.7539 1.82286e-21
2 1.17558 1.03101 12.3492 4.33336e-06
2 1.17558 1.39048 0.0380327 0.962682
2 1.2801 1.71282 0.628579 0.533349
2 0.713553 0.524542 0.105719 0.899678
2 0.71453 1.40708 80.4579 1.14178e-35
2 1.1199 1.24347 0.0258547 0.974477
2 1.17411 0.5558 67.7214 3.88124e-30
2 0.734066 1.39048 72.597 2.96167e-32
2 1.2801 1.71184 0.614184 0.541082
2 1.2801 1.71184 0.614184 0.541082
2 1.1199 1.23516 0.0505389 0.950717
2 1.10525 1.7851 31.7672 1.59843e-14
2 0.713553 0.507448 0.0823442 0.920955
2 1.27619 0.507448 125.788 1e-39
2 0.612943 0.507448 1.88561 0.151737
2 0.119658 1.24982 153.421 1e-39
2 1.1199 1.24982 0.0162814 0.98385
2 1.17558 1.39048 0.0380327 0.962682
2 1.00757 1.14286 1.62975 0.195979
2 0.713553 0.507448 0.0823442 0.920955
2 1.17558 1.39048 0.0380327 0.962682
2 1.2801 1.71233 0.621358 0.537215
2 1.1199 1.21172 0.194658 0.823116
2 0.733089 0.526496 0.0831746 0.92019
2 1.1199 1.23419 0.0543493 0.947101
2 0.713553 0.524542 0.105719 0.899678
2 1.17558 1.00757 14.0497 7.91194e-07
2 1.17558 1.39976 0.0623965 0.93951
2 1.17021 0.5558 66.2212 1.73981e-29
2 0.713553 0.50696 0.0825351 0.920779
2 0.713553 0.526496 0.112111 0.893945
2 0.713065 0.5558 0.306425 0.736074
2 0.529915 1.71184 205.007 1e-39
2 1.36996 1.24982 39.4476 7.38104e-18
2 0.733089 0.655922 1.47552 0.22866
2 1.72357 0.655922 536.333 1e-39
2 0.728694 0.5558 0.135138 0.873595
2 1.18242 0.5558 70.9822 1.48878e-31
2 1.1199 1.24884 0.0172294 0.982918
2 1.17558 1.39048 0.0380327 0.962682
2 1.31136 0.653968 113.665 1e-39
2 1.17558 1.00757 14.0497 7.91194e-07
2 1.1746 1.24982 1.71726 0.179557
2 1.2928 1.81245 2.07756 0.125235
2 1.17558 1.38706 0.0333978 0.967154
2 1.1199 1.24982 0.0162814 0.98385
2 0.713553 0.50696 0.0825351 0.920779
2 1.17558 1.24982 1.77776 0.169016
